Comercio,Categoria,Beneficio,Dia,Vigencia,Locales,Montos,URL detalle,Tarjetas verificadas,Detalle,Variante,Tipo de variante,Etiqueta de variante,Porcentaje efectivo
Copetrol,Combustible,15% de reintegro con Tarjeta física,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 150.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,Mastercard Clásica y Oro · Tarjeta física,"15% de reintegro con Tarjeta física. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 150.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",classic-physical,base,Clásica / Oro,
Copetrol,Combustible,20% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 200.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,Mastercard Clásica y Oro · QR desde App GNB o Copetrol Vamos en estaciones habilitadas,"20% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 200.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",classic-qr,base,Clásica / Oro,
Copetrol,Combustible,25% de reintegro con Tarjeta física,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 250.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,"Mastercard Black, Black Premier y Metalcard Premier · Tarjeta física","25% de reintegro con Tarjeta física. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 250.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",black-physical,premium,Black / Premier,
Copetrol,Combustible,30% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 300.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,"Mastercard Black, Black Premier y Metalcard Premier · QR desde App GNB o Copetrol Vamos en estaciones habilitadas","30% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 300.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",black-qr,premium,Black / Premier,
Copemarket,Tiendas,15% de reintegro con Tarjeta física,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 150.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,Mastercard Clásica y Oro · Tarjeta física,"15% de reintegro con Tarjeta física. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 150.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",classic-physical,base,Clásica / Oro,
Copemarket,Tiendas,20% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 200.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,Mastercard Clásica y Oro · QR desde App GNB o Copetrol Vamos en estaciones habilitadas,"20% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 200.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",classic-qr,base,Clásica / Oro,
Copemarket,Tiendas,25% de reintegro con Tarjeta física,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 250.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,"Mastercard Black, Black Premier y Metalcard Premier · Tarjeta física","25% de reintegro con Tarjeta física. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 250.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",black-physical,premium,Black / Premier,
Copemarket,Tiendas,30% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas,Lunes,Desde 2026-07-06 hasta 2026-12-28,"KM.2: Av. Eusebio Ayala esq. Bartolomé, Asunción; Facundo Machain: Facundo Machain y RI 18 Pitiantuta, Asunción; Maitei: Av. Madame L. esq. Tte. Victor Valdez, Fernando de la Mora; Ruta 1 Km.14: Ruta Dptal D027 (Ex Ruta 1) esq. Buenos Aires, San Lorenzo; Autopista: Av. Silvio Pettirossi y Cochabamba, Luque; Villa Morra: Mcal. López y San Martín, Asunción; Km 6,5 C.D.E.: Blas Garay y Monseñor Rodríguez, Ciudad del Este; Encarnación Ruta 1: Ruta 1 Km 374 y Avda. Bernardino Caballero, Encarnación; Ferrocarril: Av. M. López e/ México y Caballero, Asunción; 25 de Mayo: 25 de Mayo esq. Choferes del Chaco - Mburicaó, Asunción; Hohenau: Ruta 6 Km. 35, Hohenau; Bella Vista Sur: Ruta 6 Km. 50. Paseo Bella Vista, Bella Vista Sur",Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 300.000.,https://www.beneficiosbancognb.com.py/imagenes/3872_bases-y-condiciones-copetrol-julio.pdf,"Mastercard Black, Black Premier y Metalcard Premier · QR desde App GNB o Copetrol Vamos en estaciones habilitadas","30% de reintegro con QR desde App GNB o Copetrol Vamos en estaciones habilitadas. Tope de compra mensual por cuenta: Gs. 1.000.000. Tope de reintegro mensual por cuenta: Gs. 300.000. No aplica a tarjetas de débito, crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No acumulable con otras promociones. No aplica a compras mediante plataformas de terceros. Tope mensual compartido por cuenta entre titular y adicionales. Reembolso en el extracto. Copemarket admite compras en tienda física y online. Copetrol Vamos aplica solamente en estaciones habilitadas según el PDF.",black-qr,premium,Black / Premier,
1688 Restó,Gastronomía,"20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de 1688 Restó. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,"Tarjetas de crédito Mastercard GNB · tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas)","20% de reintegro con tarjeta física, Apple Pay, Google Pay o QR (sin adicional de GNB Personas). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 20%: Gs. 300.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-standard,base,Mastercard,
1688 Restó,Gastronomía,25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional),"Miércoles, Jueves, Viernes, Sábado, Domingo",Desde 2026-01-02 hasta 2026-12-31,Todas las sucursales de 1688 Restó. Ciudad indicada en las bases: Asunción.,Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente.,https://www.beneficiosbancognb.com.py/imagenes/4485_bases-y-condiciones-restaurantes-bares-y-pizzer%C3%ADas-septiembre.pdf,Tarjetas de crédito Mastercard GNB · QR desde la app Banco GNB Personas (20% base + 5% adicional),"25% de reintegro con QR desde la app Banco GNB Personas (20% base + 5% adicional). Tope de compra mensual compartido por cuenta entre todos los comercios adheridos a Bares y Restó (incluye titular y adicionales): Gs. 1.500.000. Reintegro máximo calculado al 25%: Gs. 375.000; no es un cupo adicional independiente. Pagos en POS adheridos a Bancard. No participan tarjetas de débito ni crédito Visa, Empresariales, Corporativas, Gift Card, Gourmet ni Prepagas. No aplica a plataformas de terceros (Pedidos Ya, Monchis, entre otros) ni e-commerce, salvo la excepción expresa del comercio indicada en esta ficha. No acumulable con otras promociones. Aplica a todas las sucursales de cada comercio adherido. El tope de compra se comparte entre todos los comercios de esta campaña, titular y adicionales; no se multiplica por local ni por método de pago. Reintegro en el extracto al cierre o visible en movimientos de la app. El 25% total es 20% base más 5% adicional, no dos beneficios acumulables independientes.",mastercard-gnb-qr,base,Mastercard · QR GNB,
